2025-08-10T18:05:42.796Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
2025-08-10T18:08:44.991Z | GET https://www.amazon.com/ | Green: false | 1 req | 730890 bytes | 280.055487 g CO₂
2025-08-10T18:11:21.838Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
2025-08-10T18:11:58.302Z | GET https://www.amazon.com/ | Green: false | 1 req | 727685 bytes | 278.827425 g CO₂
2025-08-10T18:12:51.781Z | GET https://www.amazon.com/ | Green: false | 1 req | 741490 bytes | 284.117094 g CO₂
2025-08-10T18:12:56.076Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
2025-08-10T18:13:22.882Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
2025-08-10T18:13:26.488Z | GET https://www.amazon.com/ | Green: false | 1 req | 740181 bytes | 283.615524 g CO₂
2025-08-10T18:13:29.704Z | GET https://www.amazon.com/ | Green: false | 1 req | 736117 bytes | 282.058319 g CO₂
2025-08-10T18:13:32.487Z | GET https://www.amazon.com/ | Green: false | 1 req | 742759 bytes | 284.603337 g CO₂
2025-08-10T18:13:41.013Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
2025-08-10T18:29:18.957Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
2025-08-10T18:48:02.685Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
2025-08-10T19:00:45.580Z | GET https://www.amazon.com/ | Green: false | 1 req | 729964 bytes | 279.700671 g CO₂
2025-08-10T19:00:50.778Z | GET https://www.amazon.com/ | Green: false | 1 req | 733815 bytes | 281.176260 g CO₂
2025-08-10T19:00:53.901Z | GET https://www.amazon.com/ | Green: false | 1 req | 740002 bytes | 283.546936 g CO₂
2025-08-10T19:00:56.648Z | GET https://www.amazon.com/ | Green: false | 1 req | 731073 bytes | 280.125607 g CO₂
2025-08-10T19:00:59.443Z | GET https://www.amazon.com/ | Green: false | 1 req | 734050 bytes | 281.266306 g CO₂
2025-08-10T19:01:53.077Z | GET https://www.amazon.com/ | Green: false | 1 req | 211346 bytes | 80.981552 g CO₂
